Sheet: Q1 2021
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,23,0.952
Avant Homes,,835,0.917
Barratt Developments,,7204,0.94
Beal Developments,,53,1
Bellway Homes,,4479,0.938
Bloor Homes,,1737,0.948
Burrington Estates,,32,0.903
CALA Homes,,811,0.95
Cameron Homes,,124,0.919
Campion Homes,,,
Castle Green Homes,,74,0.919
Cavanna Homes,,82,0.899
Churchill Retirement Living,,169,0.924
Countryside Properties,,1070,0.921
Crest Nicholson,,867,0.93
Croudace Homes,,151,0.932
Cruden Homes,,73,0.887
Dandara Homes,,173,0.906
Davidsons Developments,,373,0.925
Duchy Homes,,47,0.978
Eccleston Homes,,30,0.933
Galliers Homes,,39,0.974
Gentoo Homes,,133,0.939
Greensquare Homes,,28,1
Hayfield Homes,,51,0.938
Hill,,225,0.946
Hopkins Homes,,197,0.877
Jones Homes,,191,0.905
Kebbell Development,,28,0.821
Keepmoat,,1034,0.928
Kier Living,,432,0.833
Lagan Homes,,140,0.907
Lioncourt Homes,,119,0.908
Lovell,,560,0.912
Mactaggart & Mickel Homes,,75,0.945
Malcolm Allan Housebuilders,,,
McCarthy & Stone,,335,0.932
Miller Homes,,1385,0.934
Morris Homes,,387,0.917
Orbit Homes,,,
Persimmon Homes,,7231,0.908
Redrow Homes,,2348,0.928
Riverdale Developments,,37,0.973
Rose Builders,,,
Russell Armer,,,
St Modwen Homes,,446,0.962
Stewart Milne Group,,335,0.844
Story Homes,,404,0.918
Strata Homes,,192,0.911
Taylor Wimpey,,4637,0.924
Thakeham Group,,54,0.87
Vistry Homes,,2496,0.926
W Westerman,,,
William Davis,,113,0.982

Sheet: Q2 2021
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,21,0.95
Avant Homes,,822,0.903
Barratt Developments,,7474,0.945
Beal Developments,,58,1
Bellway Homes,,4829,0.943
Bloor Homes,,1787,0.944
Burrington Estates,,27,0.926
CALA Homes,,927,0.948
Cameron Homes,,152,0.913
Campion Homes,,,
Castle Green Homes,,103,0.931
Cavanna Homes,,93,0.889
Churchill Retirement Living,,190,0.922
Countryside Properties,,1199,0.917
Crest Nicholson,,911,0.925
Croudace Homes,,163,0.917
Cruden Homes,,67,0.862
Dandara Homes,,220,0.908
Davidsons Developments,,374,0.925
Duchy Homes,,58,0.93
Eccleston Homes,,32,0.906
Galliers Homes,,41,0.951
Gentoo Homes,,124,0.927
Greensquare Homes,,22,1
Hayfield Homes,,65,0.909
Hill,,239,0.954
Hopkins Homes,,214,0.896
Jones Homes,,233,0.883
Kebbell Development,,35,0.857
Keepmoat,,1070,0.928
Lagan Homes,,149,0.899
Lioncourt Homes,,95,0.916
Lovell,,638,0.908
Mactaggart & Mickel Homes,,66,0.939
Malcolm Allan Housebuilders,,,
McCarthy & Stone,,313,0.948
Miller Homes,,1498,0.923
Morris Homes,,424,0.931
Orbit Homes,,27,0.778
Persimmon Homes,,7582,0.91
Redrow Homes,,2511,0.937
Riverdale Developments,,42,0.976
Rose Builders,,23,1
Russell Armer,,,
St Modwen Homes,,447,0.966
Stewart Milne,,346,0.835
Story Homes,,461,0.943
Strata Homes,,206,0.922
Taylor Wimpey,,5268,0.924
Thakeham Group,,87,0.931
Tilia Homes (Formally Kier),,457,0.816
Vistry Homes,,2843,0.923
W Westerman,,,
William Davis,,130,0.969

Sheet: Q3 2021
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,34,0.9697
Avant Homes,,996,0.9049
Barratt Developments,,9079,0.942
Beal Developments,,62,0.9836
Bellway Homes,,5311,0.9374
Bloor Homes,,1986,0.9518
Burrington Estates,,42,0.8537
CALA Homes,,1229,0.9458
Cameron Homes,,174,0.9186
Campion Homes,,20,0.95
Castle Green Homes,,147,0.9247
Cavanna Homes,,102,0.8889
Churchill Retirement Living,,251,0.9178
Countryside Properties,,1392,0.9153
Crest Nicholson,,1026,0.9127
Croudace Homes,,182,0.9274
Cruden Homes,,74,0.8333
Dandara Homes,,313,0.9351
Davidsons Developments,,444,0.918
Duchy Homes,,105,0.9417
Eccleston Homes,,46,0.8261
Galliers Homes,,47,0.9574
Gentoo,,135,0.9185
Greensquare Homes,,28,0.9286
Hayfield Homes,,84,0.878
Hill,,270,0.9474
Hopkins Homes,,264,0.8779
Jones Homes,,278,0.8905
Kebbell Development,,41,0.875
Keepmoat,,1316,0.9289
Kingswood Homes,,24,0.9167
Lagan Homes,,168,0.8855
Lioncourt Homes,,112,0.9196
Lovell,,788,0.9119
M F Freeman,,,
Mactaggart & Mickel Homes,,79,0.9359
Malcolm Allan Housebuilders,,,
McCarthy & Stone,,405,0.9245
Miller Homes,,1887,0.9191
Morris Homes,,480,0.9223
Orbit Homes,,42,0.7857
Persimmon Homes,,8261,0.9156
Redrow Homes,,2970,0.9373
Riverdale Developments,,47,0.9787
Rose Builders,,32,0.9688
Russell Armer,,22,1
St Modwen Homes,,474,0.966
Stewart Milne,,386,0.8385
Story Homes,,489,0.9467
Strata Homes,,272,0.9188
Taylor Wimpey,,6638,0.9197
Thakeham Group,,94,0.9043
Tilia Homes,,589,0.8082
